HHID,PN,value_06,value_08
15776,20,1.2,
15779,10,,1.0
15779,40,,
15781,10,1.4,
15784,20,1.0,
15793,10,1.6,
15801,40,,1.0
15833,10,1.6,
15833,20,1.0,
15834,10,2.0,
15834,11,1.8,
15836,10,1.0,
15836,20,2.4,
15840,20,1.0,
15883,10,,1.0
15883,11,,1.6666666666666667
15889,20,3.8,
15893,10,,1.0
15893,20,,1.6666666666666667
15897,20,1.0,
15911,10,2.8,
15911,22,1.4,
15935,11,,1.0
15960,10,,
15972,10,,1.0
15981,10,,
15981,40,1.0,
15982,10,,1.0
15982,20,,1.0
15983,10,1.4,
15986,10,,1.0
15986,40,,2.0
15991,40,,1.3333333333333333
15992,20,,
15992,30,,
15995,10,1.2,
15995,20,,
16013,10,,
16022,10,,1.0
16022,40,,1.6666666666666667
16024,10,2.0,
16024,20,1.0,
16035,10,,1.0
16035,40,,1.1666666666666667
16036,10,,1.0
16036,40,,1.0
16042,10,,2.3333333333333335
16042,11,,1.0
16048,10,1.4,
16048,20,1.4,
16054,20,1.0,
16062,10,1.0,
16062,40,2.4,
16064,10,1.4,
16064,40,2.0,
16086,10,2.0,
16086,20,2.8,
16107,10,1.4,
16116,10,1.0,
16116,20,2.0,
16119,20,,1.1666666666666667
16161,20,,2.0
16162,10,,4.166666666666667
16162,40,,1.0
16174,10,2.0,
16174,40,2.4,
16190,10,1.0,
16197,10,1.6,
16197,20,1.0,
16211,10,1.2,
16220,10,1.0,
16221,10,,1.8333333333333333
16233,10,1.6,
16233,20,1.2,
16237,30,,
16245,10,1.6,
16245,40,1.4,
16246,20,,2.0
16246,30,,1.8333333333333333
16247,30,2.6,
16250,10,,4.5
16250,20,,1.0
16306,10,,2.8333333333333335
16331,10,,1.8333333333333333
16331,11,,1.5
16376,20,1.0,
16381,10,,1.0
16381,40,,1.0
16400,10,,1.0
16404,10,2.4,
16404,20,1.0,
16407,10,1.0,
16407,11,1.4,
16412,10,1.0,
16412,20,1.0,
16415,10,,1.5
16415,40,,3.0
16420,10,2.0,
16420,20,2.4,
16430,10,2.0,
16433,10,1.8,
16433,20,1.2,
16437,10,,1.0
16437,20,,2.1666666666666665
16439,20,,1.0
16439,30,,1.0
16444,10,1.4,
16449,20,1.6,
16449,30,,
16454,20,,1.5
16460,10,1.6,
16468,10,,
16468,40,,
16471,10,,1.8333333333333333
16475,10,1.8,
16478,10,1.4,
16484,20,1.2,
16484,30,1.0,
16491,10,2.6,
16496,10,,
16500,10,,1.6666666666666667
16500,20,,1.3333333333333333
16517,10,,3.6666666666666665
16526,10,,
16526,20,,
16528,30,3.8,
16528,40,2.0,
16541,10,,1.0
16541,11,,1.0
16558,10,1.8,
16558,20,2.2,
16566,10,,2.6666666666666665
16566,20,,2.1666666666666665
16570,10,,
16599,10,2.6,
16602,10,,1.6666666666666667
16602,20,,1.6666666666666667
16606,10,1.0,
16612,10,,
16619,20,,1.0
16631,10,1.0,
16631,20,1.0,
16648,10,1.2,
16648,20,1.2,
16650,20,,2.6666666666666665
16650,30,,1.5
16659,10,,1.0
16659,40,,1.6666666666666667
16660,10,1.0,
16663,10,3.0,
16672,10,1.0,
16672,20,1.4,
16681,10,,
16698,10,1.4,
16700,20,1.2,
16705,10,1.8,
16705,20,1.8,
16706,10,,1.0
16706,20,,2.0
16710,10,,1.0
16711,10,1.0,
16715,30,1.2,
16715,40,1.0,
16747,10,1.8,
16747,20,2.0,
16761,10,,2.0
16770,10,,
16789,10,,1.0
16789,20,,1.5
16799,10,3.4,
16799,40,1.0,
16810,10,1.2,
16810,11,3.6,
16822,10,,1.0
16822,20,,1.0
16827,10,,1.8333333333333333
16827,40,,1.5
16841,10,,1.1666666666666667
16848,10,,1.5
16851,10,,1.3333333333333333
16855,20,,1.6666666666666667
16855,30,,1.5
16856,10,1.8,
16870,10,1.0,
16870,11,1.8,
16873,20,,
16873,30,1.4,
16904,10,,2.0
16904,11,,1.5
16925,10,,1.5
16925,40,,1.8333333333333333
16931,20,1.0,
16931,30,1.0,
16933,30,1.0,
16935,10,,1.0
16935,11,,1.3333333333333333
16954,10,,
16956,10,1.6,
16973,20,1.2,
16973,30,1.0,
16973,31,,
16973,32,1.4,
16975,10,,1.3333333333333333
16975,40,,1.3333333333333333
16989,10,,1.3333333333333333
16989,20,,1.0
16994,40,2.4,
16996,10,1.8,
16996,20,1.6,
17003,10,,
17027,40,1.4,
17028,10,1.6,
17031,10,,
17031,20,,
17038,30,,1.0
17041,10,,1.3333333333333333
17042,10,1.0,
17042,20,1.2,
17049,10,,1.0
17049,20,,1.6666666666666667
17050,20,,1.0
17050,30,,1.0
17061,10,1.8,
17075,10,2.2,
17075,20,1.0,
17077,40,,
17093,40,,1.0
17107,10,,2.1666666666666665
17134,11,1.6,
17136,10,,1.5
17136,20,,2.1666666666666665
17175,10,3.4,
17199,10,1.0,
17201,20,1.0,
17209,10,1.6,
17209,11,1.0,
17234,10,2.0,
17234,40,2.0,
17237,10,,1.0
17237,20,,1.1666666666666667
17239,10,,2.6666666666666665
17239,20,,
17241,10,,1.0
17241,11,,1.5
17253,10,1.4,
17279,10,,2.5
17279,40,,1.3333333333333333
17282,20,1.4,
17282,30,1.6,
17303,10,,
17319,10,2.6,
17328,40,1.4,
17356,10,,1.0
17356,20,,1.5
17363,10,,1.5
17366,10,,1.0
17366,20,,1.0
17371,10,,1.8333333333333333
17383,10,,1.1666666666666667
17383,11,,1.5
17388,10,,1.1666666666666667
17392,10,2.2,
17392,40,2.0,
17425,10,,2.3333333333333335
17425,40,,2.6666666666666665
17428,10,,1.6666666666666667
17458,10,,
17459,10,,1.0
17468,10,1.8,
17473,10,,1.6666666666666667
17491,10,,1.5
17491,20,,1.0
17492,10,,
17492,40,2.6,
17506,20,,
17520,10,1.2,
17520,11,1.4,
17521,20,1.0,
17526,10,1.4,
17527,20,1.6,
17547,10,,1.0
17602,10,,
17623,10,,
17623,20,,1.0
17626,10,,
17626,11,,1.8333333333333333
17635,10,,1.8333333333333333
17635,20,,
17641,10,,
17642,10,,
17653,10,,1.0
17653,40,,1.0
17661,30,1.2,
17674,30,,1.1666666666666667
17707,40,,
17707,41,,
17714,20,2.0,
17715,10,,1.0
17715,20,,1.3333333333333333
17750,10,,1.0
17750,20,,2.1666666666666665
17773,10,2.2,
17773,40,3.4,
17785,30,,
17790,10,1.0,
17790,40,1.2,
17833,10,1.8,
17833,20,1.8,
17844,10,,
17862,10,,1.5
17862,40,,1.0
17922,10,1.0,
17923,10,1.8,
17923,11,1.2,
17924,10,,2.5
17924,40,,1.0
17933,10,1.2,
17933,20,1.2,
17952,10,2.4,
17952,40,1.0,
17978,10,,1.0
17978,20,,1.0
17980,10,,
17980,20,,
17986,20,,1.3333333333333333
17986,30,,1.3333333333333333
18034,10,,1.5
18052,10,,
18075,10,,2.0
18075,40,,1.6666666666666667
18092,10,2.4,
18097,10,,1.0
18098,10,,1.0
18100,10,1.0,
18150,10,,1.0
18150,40,,1.0
18155,20,,1.1666666666666667
18155,30,,1.3333333333333333
18158,10,1.2,
18163,20,,1.3333333333333333
18163,30,,1.5
18166,10,1.6,
18175,20,3.0,
18175,30,1.0,
18198,20,1.6,
18199,10,,1.0
18199,20,,1.0
18200,10,,
18204,20,,1.6666666666666667
18210,10,,
18210,40,,1.0
18212,10,,1.0
18216,10,1.0,
18216,20,,
18229,10,,1.5
18243,10,1.0,
18245,10,1.0,
18245,20,,
18259,10,,1.3333333333333333
18264,10,,1.3333333333333333
18276,10,,1.0
18276,20,,1.5
18285,20,1.0,
18285,30,1.8,
18298,10,,2.8333333333333335
18301,10,1.0,
18301,40,1.0,
18304,10,,3.6666666666666665
18304,20,,1.1666666666666667
18309,10,1.8,
18309,20,1.0,
18345,20,1.2,
18352,10,2.6,
18352,40,2.6,
18360,10,3.0,
18363,10,,1.0
18364,11,,
18417,10,,1.0
18421,10,1.0,
18424,40,,
18435,40,2.2,
18435,42,1.0,
18439,10,,1.8333333333333333
18439,40,,1.1666666666666667
18442,10,,
18442,40,,
18443,10,,
18451,10,,1.0
18451,40,,1.0
18481,20,,1.6666666666666667
18481,30,,1.0
18482,40,,
18482,41,,
18483,10,,1.1666666666666667
18508,11,2.2,
18508,40,,
18525,20,,1.0
18525,30,,1.0
18531,30,,
18536,10,1.8,
18539,10,,
18539,11,,
18566,10,1.8,
18566,20,1.0,
18632,20,,1.0
18632,30,,1.0
18646,20,,1.6666666666666667
18679,10,,1.6666666666666667
18680,20,,
18686,20,1.6,
18686,30,1.6,
18707,20,,2.5
18733,10,1.4,
18733,20,,3.0
18734,10,,1.0
18739,10,,
18739,40,1.0,
18742,10,,1.3333333333333333
18742,40,,2.3333333333333335
18758,10,3.0,
18759,10,,2.0
18774,10,,2.3333333333333335
18774,20,,1.8333333333333333
18776,10,1.6,
18776,40,1.2,
18779,10,,1.0
18779,11,,3.8333333333333335
18782,10,1.8,
18782,40,1.4,
18808,10,,1.5
18808,20,,1.1666666666666667
18828,10,,
18831,10,4.0,
18865,10,1.0,
18877,10,,1.0
18889,10,1.0,
18889,40,2.0,
18896,10,1.6,
18896,40,1.0,
18918,11,1.6,
18918,40,,1.0
18918,41,,1.0
18950,10,,
18961,10,1.0,
18963,10,2.0,
18972,10,,
18972,11,1.0,
18973,10,,1.0
18973,40,,1.0
18983,20,1.0,
18983,30,1.0,
18990,10,,1.6666666666666667
18990,40,,4.166666666666667
18992,10,,1.0
19031,20,1.0,
19047,20,,1.0
19047,30,,1.0
19049,10,,1.0
19050,10,,
19052,10,,1.1666666666666667
19052,40,,1.0
19053,10,,1.0
19053,40,,1.0
19054,20,2.2,
19058,10,,
19065,10,1.4,
19065,20,1.8,
19110,10,,1.0
19110,20,,1.1666666666666667
19133,10,,2.6666666666666665
19142,30,2.2,
19187,20,,
19212,20,,1.8333333333333333
19213,20,1.0,
19216,10,,1.0
19280,10,,1.0
19280,20,,2.1666666666666665
19286,10,1.4,
19286,20,1.0,
19298,10,1.6,
19298,11,1.0,
19298,20,1.8,
19333,10,,1.3333333333333333
19338,10,,1.3333333333333333
19338,20,,1.3333333333333333
19345,30,,1.0
19351,10,2.2,
19373,10,1.2,
19375,10,,
19389,10,,1.0
19389,40,,1.0
19403,10,,1.5
19424,10,1.2,
19433,30,2.6,
19433,40,1.4,
19442,40,,1.0
19454,10,1.2,
19454,20,1.4,
19458,10,,1.1666666666666667
19458,40,,1.1666666666666667
19489,10,,1.0
19496,10,,1.1666666666666667
19496,20,,1.6666666666666667
19501,10,,
19535,20,,3.3333333333333335
19535,30,,1.5
19536,10,,
19536,40,,
19537,10,,2.0
19558,10,,1.0
19564,10,2.0,
19569,10,1.2,
19585,10,,
19620,10,,2.0
19621,10,,1.0
19621,40,,1.6666666666666667
19625,20,,2.6666666666666665
19625,30,,2.1666666666666665
19626,10,,1.6666666666666667
19626,20,,2.5
19629,20,,2.3333333333333335
19629,30,,1.0
19637,10,1.8,
19657,10,,2.0
19657,20,,2.5
19662,10,1.0,
19687,10,,1.0
19687,40,,1.0
19704,10,,1.0
19704,11,,3.3333333333333335
19705,10,,2.3333333333333335
19705,20,,1.3333333333333333
19715,10,1.0,
19715,40,1.2,
19738,10,1.2,
19738,20,,
19742,10,2.0,
19742,40,1.4,
19746,10,,1.5
19746,20,,1.5
19747,30,1.8,
19759,20,,2.0
19769,40,1.6,
19770,10,,
19773,10,1.6,
19773,11,2.2,
19786,10,,
19786,20,,
19796,10,4.0,
19806,20,,1.0
19822,10,1.8,
19826,10,,
19857,10,,1.0
19857,20,,4.333333333333333
19877,10,,1.1666666666666667
19909,20,,
19935,10,,1.0
19935,11,,1.5
19950,10,,2.1666666666666665
19973,10,1.8,
19973,40,1.6,
19976,10,1.2,
19976,20,1.2,
19992,40,,1.3333333333333333
19995,10,,1.0
20004,10,1.6,
20041,10,,1.1666666666666667
20042,10,,1.0
20077,10,1.2,
20077,40,1.2,
20079,10,,2.6666666666666665
20079,20,,1.0
20080,30,,2.0
20093,10,2.8,
20093,40,3.0,
20093,41,,
20114,10,1.0,
20114,40,1.2,
20139,10,2.2,
20152,10,,1.1666666666666667
20161,20,,1.0
20162,10,,1.1666666666666667
20162,20,,1.6666666666666667
20176,10,,1.0
20190,10,1.4,
20201,10,1.0,
20221,10,,1.0
20221,11,,
20238,10,,1.3333333333333333
20247,10,2.0,
20248,10,1.0,
20248,40,1.0,
20256,40,,1.0
20259,10,,1.1666666666666667
20259,20,,
20293,40,1.8,
20293,41,1.2,
20306,10,,
20306,20,2.2,
20315,20,1.8,
20315,30,1.0,
20316,10,2.4,
20316,20,2.2,
20346,10,1.0,
20346,20,1.8,
20363,10,,
20363,40,,1.0
20369,10,,1.5
20369,20,,2.5
20374,10,,2.0
20383,10,,1.3333333333333333
20383,40,,1.3333333333333333
20384,10,1.6,
20384,40,1.4,
20394,10,,
20397,10,1.0,
20442,10,1.0,
20442,20,1.0,
20446,10,1.0,
20446,20,1.8,
20448,20,1.0,
20448,30,1.6,
20455,20,1.4,
20459,10,,1.3333333333333333
20459,20,,1.0
20471,10,,
20471,40,2.0,
20480,10,2.4,
20490,11,,
20501,10,,1.8333333333333333
20511,10,,
20514,10,,
20524,10,1.4,
20524,20,1.0,
20527,10,1.6,
20527,40,1.0,
20540,20,1.8,
20554,10,1.0,
20554,20,1.4,
20557,11,,2.0
20558,10,1.4,
20558,20,1.0,
20559,20,,1.6666666666666667
20559,30,,1.5
20560,10,,2.1666666666666665
20560,20,,1.0
20561,10,2.2,
20561,40,1.8,
20575,10,3.0,
20588,20,,2.0
20588,30,,1.3333333333333333
