HHID,PN,value_06,value_08
15698,40,,1.75
15708,10,,1.0
15709,20,,
15709,30,,1.25
15726,10,1.5,
15726,40,1.0,
15730,30,,
15734,40,,
15752,20,,1.75
15776,10,1.25,
15776,20,1.25,
15779,10,,1.0
15779,40,,
15781,10,1.5,
15784,20,1.75,
15793,10,1.25,
15801,40,,1.5
15833,10,2.25,
15833,20,1.25,
15834,10,1.25,
15834,11,1.0,
15836,10,1.5,
15836,20,1.25,
15840,20,1.25,
15883,10,,
15883,11,,1.0
15889,20,3.5,
15893,10,,1.25
15893,20,,1.5
15897,20,1.25,
15911,10,1.5,
15911,22,1.25,
15935,11,,1.25
15960,10,,
15972,10,,1.25
15981,10,1.5,
15981,40,1.0,
15982,10,,1.0
15982,20,,1.0
15983,10,1.0,
15986,10,,1.75
15986,40,,2.5
15991,40,,1.25
15992,20,,
15992,30,,
15995,10,,
15995,20,,
16013,10,,
16022,10,,1.0
16022,40,,1.0
16024,10,1.0,
16024,20,1.25,
16035,10,,1.25
16035,40,,1.75
16036,10,,1.0
16036,40,,1.0
16042,10,,1.75
16042,11,,1.0
16048,10,1.0,
16048,20,1.0,
16054,20,2.25,
16062,10,2.0,
16062,40,1.25,
16064,10,1.0,
16064,40,2.0,
16086,10,1.75,
16086,20,2.0,
16107,10,1.0,
16116,10,1.75,
16116,20,2.0,
16119,20,,1.5
16161,20,,2.25
16162,10,,
16162,40,,1.0
16174,10,2.0,
16174,40,1.0,
16190,10,1.5,
16197,10,1.25,
16197,20,,
16211,10,2.75,
16220,10,1.0,
16221,10,,1.0
16233,10,1.0,
16233,20,1.0,
16237,30,,
16245,10,1.5,
16245,40,1.25,
16246,20,,1.0
16246,30,,1.0
16247,30,3.25,
16250,10,,
16250,20,,1.0
16306,10,,3.0
16331,10,,1.75
16331,11,,2.5
16376,20,1.25,
16381,10,,1.0
16381,40,,1.0
16400,10,,1.0
16404,10,1.25,
16404,20,1.5,
16407,10,1.5,
16407,11,1.25,
16412,10,1.25,
16412,20,1.0,
16415,10,,1.25
16415,40,,
16420,10,1.5,
16420,20,2.25,
16430,10,,
16433,10,1.0,
16433,20,1.0,
16437,10,,1.5
16437,20,,1.0
16439,20,,1.0
16439,30,,1.0
16444,10,1.5,
16449,20,,
16449,30,,
16454,20,,1.25
16460,10,1.5,
16468,10,,
16468,40,,
16471,10,,1.0
16475,10,2.75,
16478,10,1.0,
16484,20,1.5,
16484,30,1.75,
16491,10,2.25,
16496,10,,
16500,10,,1.25
16500,20,,1.25
16517,10,,2.75
16526,10,,
16526,20,,
16528,30,,
16528,40,1.25,
16541,10,,1.25
16541,11,,1.0
16558,10,1.0,
16558,20,1.0,
16566,10,,2.0
16566,20,,1.75
16570,10,,
16599,10,1.25,
16602,10,,
16602,20,,0.75
16606,10,1.0,
16612,10,,
16619,20,,1.0
16631,10,1.0,
16631,20,1.25,
16648,10,1.25,
16648,20,1.75,
16650,20,,2.75
16650,30,,1.0
16659,10,,1.25
16659,40,,1.0
16660,10,1.0,
16663,10,,
16672,10,1.5,
16672,20,1.5,
16681,10,,
16698,10,1.25,
16700,20,1.0,
16705,10,1.0,
16705,20,1.0,
16706,10,,1.5
16706,20,,2.0
16710,10,,1.0
16711,10,1.0,
16715,30,1.0,
16715,40,1.25,
16747,10,1.5,
16747,20,1.25,
16761,10,,1.0
16770,10,,
16789,10,,2.0
16789,20,,1.0
16799,10,3.25,
16799,40,2.25,
16810,10,1.0,
16810,11,1.5,
16822,10,,
16822,20,,1.0
16827,10,,1.25
16827,40,,1.0
16841,10,,1.5
16848,10,,1.25
16851,10,,1.0
16855,20,,1.0
16855,30,,1.5
16856,10,2.0,
16870,10,1.0,
16870,11,1.0,
16873,20,,
16873,30,1.0,
16904,10,,1.25
16904,11,,1.25
16925,10,,2.0
16925,40,,2.0
16931,20,1.25,
16931,30,1.0,
16933,30,1.0,
16935,10,,1.0
